"typeLabel","placeName","choCount"
"gelatinenegatieven op acetaat","Huixquilucan","42"
"foto's","Albina","42"
"foto's","Suriname (rivier)","42"
"zwart-wit negatieven","Huixquilucan","42"
"gelatinenegatieven op acetaat","Ocotlán","40"
"gelatinenegatieven op acetaat","Ixcateopan","40"
"diorama's","Suriname","40"
"zwart-wit negatieven","Ixcateopan","40"
"vlakdrukken","Recife","40"
"zwart-wit negatieven","Ocotlán","40"
"medailles","Groenland","38"
"gelatinenegatieven op acetaat","San Luis Potosí (deelstaat)","38"
"zwart-wit foto's","Ammassalik- district","38"
"gelatineplaatnegatieven","Philipsburg","38"
"ontwikkelgelatinezilverdrukken","Marowijne (rivier)","38"
"ontwikkelgelatinezilverdrukken","Copán","38"
"ontwikkelgelatinezilverdrukken","Uxmal","38"
"gelatineplaatnegatieven","Groot Chatillon","38"
"fotografische afdrukken","Ammassalik- district","38"
"daglichtcollodiumzilverdrukken","Suriname","38"
"foto's","Peru","38"
"zwart-wit negatieven","San Luis Potosí (deelstaat)","38"
"zwart-wit negatieven","Morelos (deelstaat)","38"
"ontwikkelgelatinezilverdrukken","Sint Eustatius","38"
"gelatine zilverdrukken","Paramaribo","36"
"gelatinenegatieven op acetaat","Aruba","36"
"prenten","Baker Lake","36"
"daglichtgelatinezilverdrukken","Mariënburg","36"
"beelden","Brazilië","36"
"foto's","Intelwakondre","36"
"albuminedrukken","Willemstad","36"
"beelden","Huatusco","36"
"ontwikkelgelatinezilverdrukken","Costa Rica","36"
"zwart-wit negatieven","Mezquitic","36"
"diapositieven","Kralendijk","36"
"gelatinenegatieven op acetaat","Mezquitic","36"
"gelatinenegatieven op acetaat","Oaxaca-Stad","34"
"kleurendia's","Patzún","34"
"sculpturen","Canada","34"
"volksprenten","Peru","34"
"foto's","San Francisco","34"
"gelatinenegatieven op acetaat","Commewijne (district)","34"
"gelatinenegatieven op acetaat","Zacamulpa","34"
"zwart-wit negatieven","Zacamulpa","34"
"zwart-wit negatieven","Oaxaca-Stad","34"
"diapositieven","Willemstad","34"
"ontwikkelgelatinezilverdrukken","Tapanahoni (rivier)","32"
"gelatinenegatieven op nitraat","Corantijn (rivier)","32"
"zwart-wit negatieven","Naupan","32"
"gelatinenegatieven op acetaat","Naupan","32"
"diapositieven","Alaska","32"
"beelden","Guatemala","32"
"kindertekeningen","Tuba City","32"
"kachina-poppen","Hopi I.R.","32"
"beelden","Guerrero (deelstaat)","32"
"bustes","New Mexico","32"
"sculpturen","Groenland- West","32"
"zwart-wit negatieven","Ammassalik- district","32"
"tekeningen","Amazonas (Brazilië, deelstaat)","32"
"afgietsels","New Mexico","32"
"beeldhouwwerken","Cape Dorset","32"
"foto's","Paloemeu (rivier)","32"
"foto's","Manlobbi","32"
"prenten","Cape Dorset","32"
"gelatineplaatnegatieven","Majoli","32"
"beelden","Oaxaca (deelstaat)","30"
"ontwikkelgelatinezilverdrukken","Voltz-berg","30"
"beelden","Manabí","30"
"figuren (voorstellingen)","Aleutian Islands","30"
"kleurendia's","Salta (provincie)","30"
"houtsneden","Brazilië","30"
"ontwikkelgelatinezilverdrukken","Zanderij","30"
"ontwikkelgelatinezilverdrukken","Oranjestad -Sint Eustatius","30"
"gelatinenegatieven op acetaat","Bonaire","30"
"beelden","Tzintzuntzan","30"
"gelatinenegatieven op nitraat","Zanderij","30"
"gelatinenegatieven op nitraat","Aruba","28"
"volksprenten","Bolivia","28"
