"typeLabel","placeName","choCount"
"attributen","Western Australia","2"
"schilderingen","Western Australia","2"
"gelatineplaatnegatieven","Nieuw-Guinea (eiland)","2"
"daglichtgelatinezilverdrukken","Nieuw-Guinea (eiland)","2"
"fotomechanische afdrukken","Papoea-Nieuw-Guinea","2"
"portretschedels","Papoea-Nieuw-Guinea","2"
"godenbeelden","New Ireland (provincie)","2"
"beeldhouwwerken","New Ireland (provincie)","2"
"daglichtgelatinezilverdrukken","West Sepik (provincie)","2"
"voorouderbeelden","Kaniet-eilanden","2"
"voorouderbeelden","Malakula","2"
"voorouderschedels","Malakula","2"
"figuren (voorstellingen)","Iwa-eiland","2"
"afweerbeelden","Purari (rivier)","2"
"maskers (beeldhouwwerk)","Aibom","2"
"voorouderbeelden","Kararau","2"
"gravures","Raiatea","2"
"voorouderbeelden","Marquesas-eilanden","2"
"beelden","Niue","2"
"voorouderbeelden","New Britain","2"
"attributen","Sepik -gebied","2"
"diapositieven","Solomon Eilanden","2"
"schilderingen","Centraal-Australië","2"
"reliëfs","Keram (rivier)","2"
"beelden","Maprik","2"
"vruchtbaarheidspoppen","Maprik","2"
"maskers (beeldhouwwerk)","Ramu (rivier)","2"
"daglichtcollodiumzilverdrukken","Torres Straat -gebied","2"
"ontwikkelgelatinezilverdrukken","Melbourne","2"
"fotomechanische afdrukken","Melbourne","2"
"lithografieën (prenten)","Huahine","2"
"maskers (beeldhouwwerk)","Kanganaman","2"
"gevelmaskers","Timbunke","2"
"beelden","Kambrindo","2"
"voorouderbeelden","Wingei","2"
"beelden","Imanmeri","2"
"voorouderbeelden","Imanmeri","2"
"beelden","Ulupu","2"
"figuren (voorstellingen)","Kalabu","2"
"voorouderbeelden","Karawari-rivier","2"
"bisjpalen","Bipi","2"
"beeldmateriaal","Nieuw-Zeeland","1"
