"typeLabel","placeName","choCount"
"kleurenfoto's","Parijs","6"
"lantaarnplaatjes","Gibraltar","4"
"beelden","Russische Federatie","4"
"zwart-wit negatieven","Denemarken","4"
"gelatinenegatieven op acetaat","Denemarken","4"
"medailles","Noordoost-Siberië","4"
"levensbomen","Amur","4"
"sculpturen","Khanty-Mansi- district","4"
"albuminedrukken","Nederland","4"
"gelatinenegatieven op nitraat","Nederland","4"
"kalligrafie","Nederland","4"
"daglichtcollodiumzilverdrukken","Nederland","4"
"lichtdrukken","Nederland","4"
"ontwikkelgelatinezilverdrukken","Bergen","4"
"lithografieën (prenten)","Leiden","4"
"kabinetfoto's","Katwijk","4"
"etsen (prenten)","Verenigd Koninkrijk","4"
"positieven (beeldmateriaal)","Brussel","4"
"daglichtcollodiumzilverdrukken","Dresden","4"
"ontwikkelgelatinezilverdrukken","Frankrijk","4"
"gelatineplaatnegatieven","Frankrijk","4"
"lantaarnplaatjes","Lissabon","4"
"foto's","Ponta Delgada","4"
"figuren (voorstellingen)","Tromsö","4"
"foto's","Rome","4"
"digitale fotoafdrukken","Londen","4"
"prenten","Londen","4"
"albuminedrukken","Londen","4"
"gelatinenegatieven op acetaat","Gibraltar","4"
"foto's","Eurazië","4"
"medailles","Europa","4"
"kabinetfoto's","Europa","4"
"diorama's","Europa","4"
"glasnegatieven","Noorwegen","4"
"gouaches (schilderingen)","Tobol'sk","4"
"sculpturen","Arkangelsk","4"
"schaalmodellen","Nederland","4"
"gipsmodellen","Nederland","4"
"plastieken","Nederland","4"
"plaquettes (beeldmateriaal)","Nederland","4"
"potloodtekeningen","Nederland","4"
"negatieven","Amsterdam","4"
"lichtdrukken","Haarlem","4"
"cartes-de-visite (fotografische kaarten)","Haarlem","4"
"foto's","Rotterdam","4"
"ontwikkelgelatinezilverdrukken","Sint-Michielsgestel","4"
"ontwikkelgelatinezilverdrukken","Verenigd Koninkrijk","4"
"foto's","Ardennen","4"
"foto's","Griekenland","4"
"ontwikkelgelatinezilverdrukken","Zwitserland","4"
"etsen (prenten)","Uelen","4"
"maquettes","Lapland- Noors","4"
"poppen (figuurvoorstellingen)","Kautokeino","4"
"foto's","Wenen","4"
"gelatinenegatieven op nitraat","Genua","4"
"positieven (beeldmateriaal)","Londen","4"
"borduurwerk","Sakhalin","4"
"schilderingen","Sakhalin","4"
"foto's","Russische Federatie","4"
"kruisen","Europa","4"
"kleurenlithografieën (prenten)","Nederland","4"
"olieverfschilderingen","Nederland","4"
"autotypieën","Nederland","4"
"bustes","Nederland","4"
"plattegronden (gebouwen)","Amsterdam","4"
"votiefbeelden","Amsterdam","4"
"ontwikkelgelatinezilverdrukken","Zaandam","4"
"albuminedrukken","Haarlem","4"
"tegeltableaus","Utrecht","4"
"ontwikkelgelatinezilverdrukken","Den Bosch","4"
"ontwikkelgelatinezilverdrukken","Limburg (provincie)","4"
"gelatinenegatieven op nitraat","Engeland","4"
"ontwikkelgelatinezilverdrukken","Servië","4"
"lichtdrukken","Middellandse zee","4"
"stadsgezichten","Middellandse zee","4"
"foto's","Kopenhagen (county)","4"
"miniaturen (schilderingen)","Tromsö","4"
"platinadrukken","Odesa","4"
"foto's","Zweden","2"
"houtgravures","Russische Federatie","2"
"beelden","Siberië","2"
"gelatinenegatieven op polyester","Siberië","2"
"reliëfs","Europa","2"
"albuminedrukken (goudgetoond)","Europa","2"
"textielkunst","Europa","2"
"cartes-de-visite (fotografische kaarten)","Europa","2"
"ontwikkelgelatinezilverdrukken","Europa- Noord","2"
"figuren (voorstellingen)","Moskva","2"
"sculpturen","Naryan Mar","2"
"votiefbeelden","Nederland","2"
"installaties (beeldmateriaal)","Nederland","2"
"kabinetfoto's","Nederland","2"
"tegeltableaus","Nederland","2"
"kleurenfoto's","Nederland","2"
"gedenkstenen","Nederland","2"
"zeefdrukken","Nederland","2"
"krijttekeningen","Nederland","2"
"sculpturen","Nederland","2"
"kleurendia's","Noord-Holland","2"
"kleurenlithografieën (prenten)","Amsterdam","2"
"foto's naar vorm: kleur","Amsterdam","2"
"gedenkdoeken","Amsterdam","2"
"daglichtgelatinezilverdrukken","Haarlem","2"
"diapositieven","Dordrecht","2"
"diapositieven","Rotterdam","2"
"albuminedrukken","Utrecht","2"
"daglichtcollodiumzilverdrukken","Utrecht","2"
"cartes-de-visite (fotografische kaarten)","Utrecht","2"
"volksprenten","Duitsland","2"
"kleurenlithografieën (prenten)","Duitsland","2"
"zelfportretten","Dresden","2"
"prenten","Berlijn","2"
"foto's","Europa- Zuid","2"
"gelatinenegatieven op nitraat","Europa- Zuid","2"
"glasnegatieven","Italië","2"
"figuren (voorstellingen)","Sicilië","2"
"cartes-de-visite (fotografische kaarten)","Toscane","2"
"kleurenlithografieën (prenten)","Frankrijk","2"
"aquarellen","Frankrijk","2"
"lantaarnplaatjes","Portugal","2"
"kruisen","Griekenland","2"
"foto's","Albanië","2"
"aquarellen","Zwitserland","2"
"miniaturen (schilderingen)","Lapland- Noors","2"
"gedenkstenen","Lésvos","2"
"kalligrafie","Prizren","2"
"foto's","Milaan","2"
"beelden","Parijs","2"
"foto's","Basel","2"
"figuren (voorstellingen)","Hordaland","2"
"positieven (beeldmateriaal)","Athene","2"
"diapositieven","Genua","2"
"kleurenlithografieën (prenten)","Napels","2"
"kleurenfoto's","Napels","2"
"gelatineplaatnegatieven","Marseille","2"
"kleurenlithografieën (prenten)","Madrid","2"
"ontwikkelgelatinezilverdrukken","Württemberg","2"
"daglichtgelatinezilverdrukken","Londen","2"
"gelatineplaatnegatieven","Londen","2"
"foto's","Stuttgart","2"
"foto's","Leipzig","2"
"installaties (beeldmateriaal)","Londen","2"
"nishiki-e","Londen","2"
"schilderijen","Liverpool","2"
"platinadrukken","Russische Federatie","2"
"gelatinenegatieven op acetaat","Siberië","2"
"figuren (voorstellingen)","Irkutsk","2"
"ontwerptekeningen","Europa","2"
"kleurenfoto's","Europa","2"
"diapositieven","Europa","2"
"schaalmodellen","Europa","2"
"houtsneden","Europa","2"
"afgietsels","Europa","2"
"gravures","Denemarken","2"
"cartes-de-visite (fotografische kaarten)","Sankt Peterburg","2"
"gravures","Kamchatka","2"
"prenten","Sápmi","2"
"aquarellen","Balkan","2"
"foto's","Europa- West","2"
"maquettes","Nederland","2"
"chromogene kleurenafdrukken","Nederland","2"
"daglichtcollodiumzilverdrukken (goud- & platinagetoond)","Nederland","2"
"tatoeages","Nederland","2"
"beeldhouwwerken","Nederland","2"
"pastels","Nederland","2"
"medailles","Nederland","2"
"pentekeningen","Amsterdam","2"
"schaalmodellen","Amsterdam","2"
"gelatine zilverdrukken","Amsterdam","2"
"glasnegatieven","Amsterdam","2"
"beelden","Amsterdam","2"
"olieverfschilderingen","Amsterdam","2"
"lithografieën (prenten)","Den Haag","2"
"tegeltableaus","Delft","2"
"platinadrukken","Haarlem","2"
"ontwikkelgelatinezilverdrukken","Zuid-Holland","2"
"groepsportretten","Den Haag","2"
"autotypieën","Zwolle","2"
"albuminedrukken","Breda","2"
"ontwikkelgelatinezilverdrukken","Moerdijk","2"
"ontwikkelgelatinezilverdrukken","Zeeland -Nederland","2"
"aquatinten","Verenigd Koninkrijk","2"
"koperdiepdrukken","Engeland","2"
"gravures","Engeland","2"
"gedenkpenningen","Utrecht","2"
"gravures","Verenigd Koninkrijk","2"
"foto's","Vlaanderen","2"
"albuminedrukken","Berlijn","2"
"foto's","Spanje","2"
"kalligrafie","Andalusië","2"
"aquarellen","Italië","2"
"kleurenfoto's","Italië","2"
"gravures","Frankrijk","2"
"olieverfschilderingen","Portugal","2"
"beelden","Griekenland","2"
"cartes-de-visite (fotografische kaarten)","Tsjechië","2"
"daglichtcollodiumzilverdrukken","Polen","2"
"figuren (voorstellingen)","Oekraïne","2"
"foto's","Bulgarije","2"
"foto's","Oostenrijk","2"
"poppen (figuurvoorstellingen)","Erzgebirge","2"
"aquarellen","Capri (eiland)","2"
"lichtdrukken","Algeciras","2"
"ontwikkelgelatinezilverdrukken","Kopenhagen (county)","2"
"maquettes","Jokkmokk","2"
"klederdrachtpoppen","Kautokeino","2"
"kalligrafie","Bakhchysaray","2"
"ontwikkelgelatinezilverdrukken","Groningen -Nederland","2"
"wandversieringen (beeldmateriaal)","Granada","2"
"albuminedrukken","Parijs","2"
"schilderingen","Parijs","2"
"aquarellen","Parijs","2"
"pentekeningen","Parijs","2"
"miniaturen (schilderingen)","Norrbotten","2"
"stereofoto's","Genua","2"
"kleurenlithografieën (prenten)","Venetië","2"
"ontwikkelgelatinezilverdrukken","Madrid","2"
"ontwikkelgelatinezilverdrukken","Neurenberg","2"
