"typeLabel","placeName","choCount"
"volksprenten","Oost-Azië","146"
"tanka's","Tibet","144"
"negatieven","Indonesië","144"
"foto's","Surabaya (stadsgemeente)","144"
"daglichtgelatinezilverdrukken","Surakarta (stadsgemeente)","142"
"ontwikkelgelatinezilverdrukken","Tengger-gebergte","140"
"rolschilderingen","Japan","140"
"foto's","Padang (stadsgemeente)","140"
"platinadrukken","Sumatera Utara (provincie)","138"
"beelden","Puducherry (territorium)","138"
"aquarellen","India","138"
"krijttekeningen","Indonesië","138"
"voorouderbeelden","Zuidoost-Molukken","136"
"gelatinenegatieven op nitraat","Zuid-Papua","136"
"ontwikkelgelatinezilverdrukken","Saudi-Arabië","136"
"ontwikkelgelatinezilverdrukken","Flores (eiland)","136"
"triptieken","Osaka","134"
"ontwikkelgelatinezilverdrukken","Cianjur (regentschap)","134"
"beelden","Jawa Timur (provincie)","134"
"ontwikkelgelatinezilverdrukken","Surakarta (stadsgemeente)","134"
"daglichtgelatinezilverdrukken","Tosari","134"
"gelatinenegatieven op nitraat","Ambon (eiland)","132"
"ontwikkelgelatinezilverdrukken","Flores Timur (regentschap)","132"
"lichtdrukken","Prambanan","132"
"gelatinenegatieven op nitraat","Jakarta","132"
"gelatineplaatnegatieven","Sumatera","130"
"tekeningen","Aceh (provincie)","130"
"foto's","Palembang (stadsgemeente)","130"
"ontwikkelgelatinezilverdrukken","Mimika (regentschap)","130"
"daglichtgelatinezilverdrukken","Jawa Tengah (provincie)","128"
"gelatineplaatnegatieven","Papua (Indonesië)","128"
"gelatinenegatieven op acetaat","Penataran","128"
"negatieven","Semarang (regentschap)","128"
"godenbeelden","Xiamen","126"
"prenten","Mekka","126"
"nishiki-e","Japan","126"
"tekeningen","Jawa Barat (provincie)","126"
"foto's","Jawa Barat (provincie)","126"
"ontwikkelgelatinezilverdrukken","Pontianak (stadsgemeente)","126"
"ontwikkelgelatinezilverdrukken","Bangka (eiland)","126"
"daglichtgelatinezilverdrukken","Kebumen (regentschap)","124"
"ontwikkelgelatinezilverdrukken","Lio-gebied","124"
"ontwikkelgelatinezilverdrukken","Banjarmasin (stadsgemeente)","124"
"daglichtgelatinezilverdrukken","Penataran","124"
"foto's","Toba-meer","122"
"albuminedrukken","Jakarta","122"
"houtsnijwerk","Bali","122"
"gelatine zilverdrukken","Jawa","122"
"albuminedrukken","Japan","122"
"gelatinenegatieven op nitraat","Kunlun","122"
"daglichtgelatinezilverdrukken","Purworejo (regentschap)","120"
"gelatineplaatnegatieven","Jawa Barat (provincie)","120"
"foto's","Magelang (regentschap)","120"
"foto's","Rantepao","120"
"aquarellen","Istanbul","118"
"gelatinenegatieven op nitraat","Prambanan","118"
"ontwikkelgelatinezilverdrukken","Pemalang (regentschap)","118"
"diapositieven","China","118"
"kleurendia's","Aleppo","118"
"foto's","Flores (eiland)","118"
"gelatineplaatnegatieven","Sumatera Utara (provincie)","116"
"gelatinenegatieven op acetaat","Ambon (eiland)","116"
"godenbeelden","India","116"
"foto's","Sulawesi","114"
"prenten","Medina","114"
"schaalmodellen","China","114"
"borduurwerk","China","112"
"foto's","Banda Aceh (stadsgemeente)","112"
"gelatinenegatieven op nitraat","Borobudur","112"
"daglichtcollodiumzilverdrukken","Deli Serdang (regentschap)","112"
"aquarellen","Turkije","110"
"kleurendia's","Baliem-vallei","110"
"gelatinenegatieven op nitraat","Bandung (stadsgemeente)","110"
"afgietsels","Nias (eiland)","108"
"ontwikkelgelatinezilverdrukken","Irak","108"
"foto's","Nikko","106"
"foto's","Kapuas (rivier)","106"
"ontwikkelgelatinezilverdrukken","Filipijnen","106"
"prenten","Pakistan","106"
"gelatineplaatnegatieven","Merauke (regentschap)","106"
"gelatineplaatnegatieven","Toba-meer","106"
"gelatineplaatnegatieven","Bandung (stadsgemeente)","106"
"ontwikkelgelatinezilverdrukken","Prambanan","106"
"foto's","Bangkok","104"
"daglichtcollodiumzilverdrukken","Surakarta (stadsgemeente)","104"
"prenten","Vietnam","104"
"kleurendia's","Toba-meer","102"
"ontwikkelgelatinezilverdrukken","Sulawesi","102"
"foto's","Sulawesi Selatan (provincie)","102"
"negatieven","Borneo","102"
"daglichtgelatinezilverdrukken","Pasuruan (regentschap)","102"
"houtsnijwerk","China","100"
"daglichtgelatinezilverdrukken","Jambi (provincie)","100"
"aquarellen","Jawa","100"
"negatieven","Sumatera","100"
"tekeningen","Jawa","100"
"ontwikkelgelatinezilverdrukken","Balikpapan (stadsgemeente)","100"
"daglichtcollodiumzilverdrukken","Jakarta","100"
"foto's","Makassar","100"
"handrolschilderingen","Laos","98"
"godenbeelden","Japan","98"
"ontwikkelgelatinezilverdrukken","Denpasar (stadsgemeente)","98"
"foto's","Banjarnegara (regentschap)","98"
"lichtdrukken","Jakarta","98"
"negatieven","Surabaya (stadsgemeente)","98"
"handrolschilderingen","Nagasaki","96"
"kleurendia's","Parapat","96"
"gelatinenegatieven op acetaat","Plered","96"
"gelatineplaatnegatieven","Aceh (provincie)","96"
"positieven (beeldmateriaal)","Sawahlunto / Sijunjung (regentschap)","96"
"foto's","Atjametsj","96"
"glasnegatieven","Iran","96"
"foto's","Halmahera (eiland)","96"
"foto's","Kai-eilanden","94"
"daglichtgelatinezilverdrukken","Toba-meer","94"
"handrolschilderingen","Guangxi","94"
"positieven (beeldmateriaal)","Aceh (provincie)","94"
"korwars","Noordelijk Papua","94"
"foto's","Banda-eilanden","94"
"kleurenlithografieën (prenten)","Indonesië","94"
"ontwikkelgelatinezilverdrukken","Ende (regentschap)","94"
"gelatine-zilver negatieven (op drager van kunststof)","India","94"
"foto's","Osaka","94"
"foto's","Bukittinggi (stadsgemeente)","94"
"ontwikkelgelatinezilverdrukken","Banyumas (regentschap)","94"
"lichtdrukken","Mekka","92"
"foto's","Jawa Tengah (provincie)","92"
"gelatinenegatieven op acetaat","Filipijnen","92"
"foto's","Sanggau (regentschap)","92"
"potloodtekeningen","Indonesië","92"
"gelatinenegatieven op acetaat","Ende (regentschap)","90"
"foto's","Sulawesi Utara (provincie)","90"
"tekeningen","Jawa Tengah (provincie)","90"
"voorstellingen (beeldmateriaal)","Japan","90"
"foto's","Yokohama","90"
"ontwikkelgelatinezilverdrukken","Cirebon (stadsgemeente)","90"
"gelatinenegatieven op acetaat","Bandung (stadsgemeente)","90"
"daglichtgelatinezilverdrukken","Merauke (regentschap)","90"
"foto's","Toba (regio)","90"
"beeldsnijwerken","Jawa","88"
"godenbeelden","Myanmar","88"
"diapositieven","Papua (Indonesië)","88"
"gelatinenegatieven op nitraat","Xinjiang","88"
"foto's","Kapuas (regentschap)","88"
"foto's","Matano-meer","88"
"daglichtcollodiumzilverdrukken","Bogor (stadsgemeente)","88"
"tekeningen","Batuan","86"
"positieven (beeldmateriaal)","Sumatera","86"
"ontwikkelgelatinezilverdrukken","Oost-Sumatera","86"
"foto's","Hong Kong","86"
"lithografieën (prenten)","Indonesië","86"
"kleurendia's","Ankara","84"
"foto's","Nias Selatan (regentschap)","84"
"gelatinenegatieven op nitraat","Ambon (stad)","84"
"ontwikkelgelatinezilverdrukken","Tana Toraja (regentschap)","84"
"gelatinenegatieven op nitraat","Borneo","84"
"prenten","Noord-Afghanistan","84"
"foto's","Noord-India","82"
"positieven (beeldmateriaal)","Sumatera Barat (provincie)","82"
"kleurendia's","Dhaka","82"
"potloodtekeningen","Jawa","82"
"ontwerptekeningen","Jawa","82"
"foto's","Merauke (plaats)","82"
"daglichtgelatinezilverdrukken","Borobudur","82"
"diapositieven","Ulee Lheue","82"
"foto's","Bandung (stadsgemeente)","82"
"schilderingen","India","80"
"foto's","Nagasaki","80"
"kleurendia's","Penataran","80"
"ontwikkelgelatinezilverdrukken","Ayafo","80"
"aquarellen","China","80"
"gelatinenegatieven op acetaat","Pulau Morotai (regentschap)","80"
"positieven (beeldmateriaal)","Bogor (stadsgemeente)","80"
"albuminedrukken","Jawa","78"
"hoogdrukken","Tibet","78"
"gelatineplaatnegatieven","Sumatera Barat (provincie)","78"
"beelden","Zuid-Papua","78"
"foto's","Banggai (regentschap)","78"
"foto's","Tarutung","78"
"beelden","Kedu","78"
"voorouderbeelden","Batu-eilanden","78"
"gelatinenegatieven op nitraat","Lahurus","78"
"kleurendia's","Syrië","78"
"gelatineplaatnegatieven","Yogyakarta (stadsgemeente)","76"
"daglichtcollodiumzilverdrukken","Aceh (provincie)","76"
"gelatinenegatieven op nitraat","Yogyakarta (stadsgemeente)","76"
"gelatineplaatnegatieven","Batur","76"
"rolschilderingen","Tongking","76"
"foto's","Prambanan","76"
"foto's","Malang (stadsgemeente)","76"
"gelatinenegatieven op acetaat","Palembang (stadsgemeente)","76"
"foto's","Samarinda (stadsgemeente)","76"
"ontwikkelgelatinezilverdrukken","Banten","76"
